Vessel,Q1 Days,Q1 Avg Day Rate,Q1 Total Cost,Q1 Revenue,Q2 Days,Q2 Avg Day Rate,Q2 Total Cost,Q2 Revenue,Q3 Days,Q3 Avg Day Rate,Q3 Total Cost,Q3 Revenue,Q4 Days,Q4 Avg Day Rate,Q4 Total Cost,Q4 Revenue
Amazon Conqueror,0,0.0,0.0,0,0,0.0,0.0,0,48,0.0,0.0,0,0,0.0,0.0,0
Amazon Warrior,156,0.0,0.0,0,368,0.0,0.0,0,213,0.0,0.0,0,228,0.0,0.0,0
Island Pride,0,0.0,0.0,0,177,0.0,0.0,0,177,0.0,0.0,0,240,0.0,0.0,0
Oceanic Sirius,80,0.0,0.0,0,80,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
Oceanic Vega,173,0.0,0.0,0,121,0.0,0.0,0,27,0.0,0.0,0,0,0.0,0.0,0
SW Bly,155,0.0,0.0,0,155,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
SW Duchess,58,0.0,0.0,0,40,0.0,0.0,0,81,0.0,0.0,0,0,0.0,0.0,0
SW Empress,159,0.0,0.0,0,113,0.0,0.0,0,93,0.0,0.0,0,117,0.0,0.0,0
SW Gallien,101,0.0,0.0,0,195,0.0,0.0,0,158,0.0,0.0,0,134,0.0,0.0,0
SW Tasman,116,0.0,0.0,0,183,0.0,0.0,0,156,0.0,0.0,0,133,0.0,0.0,0
SW Thuridur,126,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
