Project,Vessel,Survey Type,Quarter
Bengal National Seismic Program (NSP) 2D,SW Bly,,Q1-2025
Block 32 Louro / Mostarda 4D OBN,SW Gallien,Source,Q1-2025
Block 32 Louro / Mostarda 4D OBN,SW Tasman,Node Layout,Q1-2025
Block 63 / Block 52 Ironman 3D,Amazon Warrior,,Q1-2025
BP-OSHP-2022/1 3D,Oceanic Sirius,,Q1-2025
CI-40 Kossipo OBN,SW Tasman,Node Layout / Source,Q1-2025
Jubarte / Baleia Ana Undershoot,Oceanic Vega,,Q1-2025
Jubarte / Baleia Ana 4D,Oceanic Vega,,Q1-2025
Jubilee 4D,SW Duchess,,Q1-2025
Laxmi Basin National Seismic Program (NSP) 2D,SW Thuridur,,Q1-2025
Pelotas Basin Phase I 3D,SW Empress,,Q1-2025
Pelotas Basin Phase II 3D,SW Empress,,Q1-2025
Tartaruga Verde B1 4D,Oceanic Vega,,Q1-2025
Bengal National Seismic Program (NSP) 2D,SW Bly,,Q2-2025
Block 20 Kaminho OBN,SW Tasman,Node Layout,Q2-2025
Block 20 Kaminho OBN,SW Gallien,Source,Q2-2025
Block 32 Louro / Mostarda 4D OBN,SW Gallien,Source,Q2-2025
Block 32 Louro / Mostarda 4D OBN,SW Tasman,Node Layout,Q2-2025
Block 63 / Block 52 Ironman 3D,Amazon Warrior,,Q2-2025
BP-OSHP-2022/1 3D,Oceanic Sirius,,Q2-2025
Jubarte / Baleia Ana Undershoot,Oceanic Vega,,Q2-2025
Jubarte / Baleia Ana 4D,Oceanic Vega,,Q2-2025
Pelotas Basin Phase II 3D,SW Empress,,Q2-2025
Stabroek 4D OBN,Island Pride,Node Handling,Q2-2025
Stabroek 4D OBN,Amazon Warrior,Source,Q2-2025
Tartaruga Verde B1 4D,Oceanic Vega,,Q2-2025
Tartaruga Verde B1 4D,Oceanic Vega,,Q2-2025
Tartaruga Verde B1 Undershoot,SW Duchess,,Q2-2025
Tartaruga Verde B1 4D,SW Duchess,,Q2-2025
Block 15 OBN,SW Tasman,Node Handling,Q3-2025
Block 15 OBN,SW Gallien,Source,Q3-2025
Block 20 Kaminho OBN,SW Tasman,Node Layout,Q3-2025
Block 20 Kaminho OBN,SW Gallien,Source,Q3-2025
EQ25005 Tyrihans 4D,Amazon Conqueror,,Q3-2025
EQ25005 Tyrihans Phase II 4D,Amazon Conqueror,,Q3-2025
Stabroek 4D OBN,Island Pride,Node Handling,Q3-2025
Stabroek 4D OBN,Amazon Warrior,Source,Q3-2025
STP02 3D,SW Empress,,Q3-2025
Tartaruga Verde B1 4D,Oceanic Vega,,Q3-2025
Tartaruga Verde B1 Undershoot,SW Duchess,,Q3-2025
Tartaruga Verde B1 4D,SW Duchess,,Q3-2025
